Sample_Name,Sample Number,BV/TV,Tb.Th,Tb.N,Tb.Sp,Conn.D,App.D,Tiss.D,TV,BV,SMI,BS,BS/BV,BS/TV,BS/MV,DA,exp_name,gene_symbol
AAA_E01_F02_CF,1101.0,6.41,55.1,3.6688,274.2,16.8676,77.2953,754.679,1.7489,0.112,3.8465,4.8275,51.9542,2.760306478357825,2.949172215773719,1.5717,AAA_E01_CF.xlsx,AAA
AAA_E01_F03_CF,1102.0,6.38,45.699999999999996,4.0077,248.5,17.0699,80.7698,657.88,1.611,0.1028,3.605,5.0661,62.5157,3.144692737430167,3.3590372629624716,1.3979,AAA_E01_CF.xlsx,AAA
AAA_E01_F04_CF,1103.0,8.83,56.5,3.6841,266.40000000000003,32.5833,93.8338,699.712,1.7033,0.1504,3.3025,6.2971,48.979,3.696999941290436,4.055058278060404,1.4676,AAA_E01_CF.xlsx,AAA
AAA_E01_F05_CF,1104.0,5.949999999999999,57.5,3.2993,305,11.9417,72.9869,744.464,1.6329,0.0971,3.8847,4.1415,51.1116,2.536285136873048,2.696640187524417,1.335,AAA_E01_CF.xlsx,AAA
AAA_E01_F06_CF,1106.0,7.41,50.1,3.9654,254.4,29.2727,87.0933,686.787,1.8106,0.1341,3.5406,6.3474,58.1178,3.5056887219706176,3.786101998210558,1.3312,AAA_E01_CF.xlsx,AAA
AAA_E01_F07_CF,1107.0,7.13,55.4,3.6796,271,16.5084,83.9663,715.417,1.7264,0.1231,3.7767,5.2318,52.0072,3.0304680259499537,3.263144763924406,1.3796,AAA_E01_CF.xlsx,AAA
AAA_E02_F02_CF,1053.0,8.36,52.2,3.6408,276.6,29.7618,94.0423,704.09,1.5288,0.1278,3.306,5.5532,51.7716,3.632391418105704,3.9637401855817274,1.3948,AAA_E02_CF.xlsx,AAA
AAA_E02_F03_CF,1054.0,7.79,49.7,3.8043,263.6,30.192,87.7882,695.335,1.7554,0.1368,3.3582,6.0801,53.5385,3.4636550074057193,3.7563944149264796,1.5562,AAA_E02_CF.xlsx,AAA
AAA_E02_F04_CF,1055.0,5.510000000000001,48.5,3.4999,288.3,15.4338,73.8208,724.659,1.6846,0.0928,4.0633,4.228,58.8599,2.509794609996438,2.656112576956904,1.2888,AAA_E02_CF.xlsx,AAA
AAA_E02_F05_CF,1057.0,6.59,46.5,3.8961,256.90000000000003,27.6719,81.2562,664.342,1.7527,0.1155,3.2825,5.8385,62.6323,3.331146231528499,3.5661495235768386,1.4438,AAA_E02_CF.xlsx,AAA
AAA_E03_F01_CF,994.0,7.3,51.5,3.6677,273.1,24.768,79.7969,695.821,1.7563,0.1282,3.5196,5.6857,53.6147,3.2373170870580195,3.492230206989743,1.3716,AAA_E03_CF.xlsx,AAA_E03_CF.xlsx
AAA_E03_F02_CF,995.0,6.819999999999999,52.1,3.5031,282.9,19.504,80.7003,684.981,1.692,0.1154,3.6375,5.1044,53.2856,3.0167848699763593,3.2375998985157937,1.3812,AAA_E03_CF.xlsx,AAA_E03_CF.xlsx
AAA_E03_F03_CF,996.0,5.24,48.800000000000004,3.4329,289.9,10.7796,66.2465,721.601,1.7162,0.0899,3.8874,4.1801,59.0818,2.435671833119683,2.5703129803849234,1.3708,AAA_E03_CF.xlsx,AAA_E03_CF.xlsx
AAA_E03_F05_CF,998.0,6.4,52.2,3.4456,284.9,16.2414,80.7003,727.995,1.724,0.1103,3.7721,5.0676,56.369,2.939443155452436,3.1403606618330544,1.308,AAA_E03_CF.xlsx,AAA_E03_CF.xlsx
AAA_E03_F06_CF,999.0,9.229999999999999,52,4.0702,245.29999999999998,42.3093,97.7252,686.648,1.8554,0.1712,3.1989,7.8179,53.6353,4.2135927562789695,4.641907136919606,1.4558,AAA_E03_CF.xlsx,AAA_E03_CF.xlsx
AAA_E03_F07_CF,1000.0,7.37,47.6,4.0519,245.60000000000002,34.7592,88.761,668.929,1.683,0.124,3.5424,5.9546,60.306,3.538086749851456,3.8194996792815905,1.3924,AAA_E03_CF.xlsx,AAA_E03_CF.xlsx
AAA_E03_F08_CF,1001.0,6.9,50.9,3.5506,281.9,29.7521,82.9239,712.29,1.815,0.1252,3.4286,5.6776,54.5119,3.128154269972452,3.359924251390697,1.5217,AAA_E03_CF.xlsx,AAA_E03_CF.xlsx
AAA_E04_F01_CF,1013.0,7.39,53.5,3.5753,276.7,20.7408,85.4951,711.456,1.808,0.1336,3.5057,5.904,52.6863,3.265486725663717,3.526039178213091,1.4659,AAA_E04_CF.xlsx,AAA_E04_CF.xlsx
AAA_E04_F02_CF,1014.0,10.09,54.1,3.8673,257,44.1562,103.9098,681.159,1.8231,0.1839,3.2367,7.7961,49.5526,4.276287641928583,4.75603953147877,1.5364,AAA_E04_CF.xlsx,AAA_E04_CF.xlsx
AAA_E04_F03_CF,1015.0,7.090000000000001,50.2,3.6198,279.4,26.3673,83.2714,721.949,1.7256,0.1223,3.3424,5.4509,53.4034,3.1588433008808527,3.3998004116509697,1.4264,AAA_E04_CF.xlsx,AAA_E04_CF.xlsx
AAA_E04_F04_CF,1016.0,11.23,58.5,3.9821,246.9,35.8272,108.0096,730.01,1.8282,0.2053,3.0577,8.0719,44.6194,4.415217153484301,4.973750693203524,1.5774,AAA_E04_CF.xlsx,AAA_E04_CF.xlsx
AAA_E04_F05_CF,1018.0,7.920000000000001,53.8,3.8159,263,27.4257,88.1357,722.713,1.7502,0.1386,3.5634,6.0554,52.1084,3.4598331619243514,3.757383966244726,1.4133,AAA_E04_CF.xlsx,AAA_E04_CF.xlsx
AAA_E04_F06_CF,1019.0,6.32,53.6,3.5669,280.9,13.705,77.2258,679.769,1.7512,0.1107,3.8565,5.0831,57.9142,2.902638190954774,3.0985065528802194,1.3526,AAA_E04_CF.xlsx,AAA_E04_CF.xlsx
AAA_E04_F07_CF,1020.0,10.56,54.199999999999996,4.1181,238.7,45.1369,110.6502,686.926,1.7945,0.1894,3.3332,7.9777,49.6218,4.445639453886876,4.970219923992275,1.5158,AAA_E04_CF.xlsx,AAA_E04_CF.xlsx
AAA_E04_F08_CF,1021.0,4.81,46.300000000000004,3.381,294.09999999999997,6.5452,67.2193,668.234,1.6806,0.0809,3.9587,3.8432,62.3103,2.2868023325002973,2.4024504594611487,1.2571,AAA_E04_CF.xlsx,AAA_E04_CF.xlsx
AAA_E05_F01_CF,1033.0,4.8500000000000005,49.099999999999994,3.4309,291.6,14.1579,65.8295,691.999,1.6952,0.0823,3.8386,3.8398,59.393,2.2651014629542234,2.3806807613615226,1.4341,AAA_E05_CF.xlsx,AAA_E05_CF.xlsx
AAA_E05_F02_CF,1034.0,7.82,51.1,3.8835,257.1,27.9074,90.2898,692.833,1.72,0.1345,3.6631,5.9759,54.2738,3.474360465116279,3.7690949227373074,1.4612,AAA_E05_CF.xlsx,AAA_E05_CF.xlsx
AAA_E05_F03_CF,1035.0,8.15,52.6,3.8139,265.2,18.9676,91.4016,695.821,1.7662,0.1439,3.3113,6.1807,50.4257,3.499433812705243,3.80983788448499,1.518,AAA_E05_CF.xlsx,AAA_E05_CF.xlsx
AAA_E05_F04_CF,1036.0,6.859999999999999,54.199999999999996,3.4716,287.4,23.1599,76.5309,700.129,1.8782,0.1288,3.5964,5.4248,50.0284,2.8882973059312107,3.100948896764605,1.449,AAA_E05_CF.xlsx,AAA_E05_CF.xlsx
AAA_E05_F05_CF,1038.0,5.88,53.400000000000006,3.6628,271.7,13.3726,75.836,729.106,1.7199,0.1012,3.8218,4.5189,54.4773,2.6274201988487706,2.7916846852412434,1.4392,AAA_E05_CF.xlsx,AAA_E05_CF.xlsx
AAA_E05_F06_CF,1039.0,12.58,66.3,3.8245,258.1,51.3547,121.2126,758.014,1.9375,0.2438,3.0299,9.1182,41.7491,4.7061677419354835,5.383598039794532,1.5108,AAA_E05_CF.xlsx,AAA_E05_CF.xlsx
AAA_E05_F07_CF,1040.0,6.02,51,3.5902,278.6,18.9343,78.5461,731.678,1.7165,0.1034,3.7874,4.8115,58.3402,2.80308767841538,2.9827661025354906,1.3341,AAA_E05_CF.xlsx,AAA_E05_CF.xlsx
AAA_E05_F08_CF,1041.0,6.909999999999999,57.2,3.6104,280.1,14.0586,82.9239,741.753,1.8494,0.1277,3.9148,5.4791,50.9618,2.9626365307667353,3.1823778823256084,1.4033,AAA_E05_CF.xlsx,AAA_E05_CF.xlsx
AAA_E06_F01_CF,1062.0,4.95,48.2,3.3089,303,15,68.6091,721.324,1.6,0.0793,3.8161,3.7308,60.1909,2.33175,2.4533438548037085,1.375,AAA_E06_CF.xlsx,AAA_E06_CF.xlsx
AAA_E06_F02_CF,1063.0,4.67,42.3,3.5523,284.7,15.1792,66.2465,639.882,1.6799,0.0784,3.7486,3.9767,66.9837,2.367224239538068,2.483109584764284,1.3828,AAA_E06_CF.xlsx,AAA_E06_CF.xlsx
AAA_E06_F03_CF,1064.0,6.569999999999999,51.9,3.5563,279.8,21.7775,77.0868,725.84,1.6301,0.107,3.6593,4.6801,54.0679,2.8710508557757195,3.0727463725297093,1.4888,AAA_E06_CF.xlsx,AAA_E06_CF.xlsx
AAA_E06_F04_CF,1065.0,5.84,53,3.5947,283,20.0181,75.0021,698.184,1.6485,0.0962,3.7694,4.1152,52.2037,2.4963299969669395,2.6510339496231397,1.438,AAA_E06_CF.xlsx,AAA_E06_CF.xlsx
AAA_E06_F05_CF,1067.0,4.03,48.2,3.1694,318.40000000000003,10.9477,54.8502,712.429,1.6442,0.0663,3.8394,2.997,58.601,1.8227709524388758,1.8993599087394637,1.5157,AAA_E06_CF.xlsx,AAA_E06_CF.xlsx
AAA_E06_F06_CF,1068.0,6.38,52.900000000000006,3.4635,292.9,15.778,75.836,694.153,1.5845,0.101,3.7383,4.3427,52.6096,2.7407384032817923,2.927334007414897,1.4097,AAA_E06_CF.xlsx,AAA_E06_CF.xlsx
AAA_E06_F07_CF,1069.0,6.08,58.9,3.6189,277.3,8.4499,78.1292,732.72,1.5385,0.0935,4.392,3.7951,50.3609,2.466753331166721,2.6263667820069205,1.4433,AAA_E06_CF.xlsx,AAA_E06_CF.xlsx
AAA_E06_F08_CF,1070.0,6.75,57.7,3.4146,290.3,16.9384,80.8392,743.074,1.6531,0.1116,3.8431,4.5235,48.7272,2.736374085052326,2.934479403178722,1.4398,AAA_E06_CF.xlsx,AAA_E06_CF.xlsx
AAA_E08_F01_CF,1518.0,7.590673575129533,51.6,3.6818,270.9,29.275,86.7458,686.023,1.93,0.1465,3.4826,6.3786,52.2729,3.3049740932642484,3.5764507989907486,1.3566,AAA_E08_CF.xlsx,AAA_E08_CF.xlsx
AAA_E08_F02_CF,1519.0,7.735929809544191,57.8,3.3048,303.09999999999997,28.087,90.0119,735.291,1.8692,0.1446,3.4265,5.7079,45.8062,3.0536593194949715,3.3096950017395343,1.614,AAA_E08_CF.xlsx,AAA_E08_CF.xlsx
AAA_E08_F03_CF,1520.0,6.08087747845477,43.9,3.7175,267.29999999999995,18.3814,86.9543,721.254,1.6593,0.1009,3.5789,5.3183,68.7419,3.20514674862894,3.4126668377823406,1.3043,AAA_E08_CF.xlsx,AAA_E08_CF.xlsx
AAA_E08_F04_CF,1521.0,4.341681270846289,42.5,3.4591,291.4,11.5892,70.2074,680.186,1.7689,0.0768,3.7346,4.0671,70.5415,2.299225507377466,2.403581348620058,1.2285,AAA_E08_CF.xlsx,AAA_E08_CF.xlsx
AAA_E08_F05_CF,1523.0,6.051823082719842,49.3,3.5566,278.9,18.5498,78.8935,692.763,1.7251,0.1044,3.463,4.92,57.4369,2.852008579212799,3.035725303881039,1.5045,AAA_E08_CF.xlsx,AAA_E08_CF.xlsx
AAA_E08_F06_CF,1524.0,5.743283582089552,46.6,3.6631,269,15.2239,79.6579,700.338,1.675,0.0962,3.7252,4.6639,61.7844,2.784417910447761,2.954079047377755,1.3369,AAA_E08_CF.xlsx,AAA_E08_CF.xlsx
AAA_E08_F07_CF,1525.0,5.116491548652352,47.1,3.4971,291.2,16.2744,77.1563,718.266,1.7512,0.0896,3.8366,4.3087,62.1654,2.4604271356783918,2.5931030332209914,1.4386,AAA_E08_CF.xlsx,AAA_E08_CF.xlsx
AAA_E09_F01_CF,1760.0,8.920683061910728,55.199999999999996,3.8109,263.29999999999995,34.2839,102.4505,707.009,1.5167,0.1353,3.5679,5.5862,48.8644,3.6831278433441024,4.043868539163168,1.4753,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E09_F02_CF,1761.0,6.6124308493329,49.3,3.8187,265.90000000000003,27.6602,90.1508,682.201,1.5365,0.1016,3.537,4.8064,58.5232,3.1281483891962254,3.3496410899714264,1.2547,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E09_F03_CF,1762.0,5.2012692092328745,46.4,3.7718,266.40000000000003,16.7982,82.8544,702.978,1.6073,0.0836,3.684,4.2521,66.0499,2.6454924407391283,2.790641202336418,1.2745,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E09_F04_CF,1763.0,6.494400300319089,48.599999999999994,3.9189,254.7,16.5796,88.6221,690.818,1.5983,0.1038,3.7532,5.0153,60.7749,3.1378965150472373,3.3558380729340915,1.4391,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E09_F05_CF,1765.0,6.109582760201743,45.6,3.7872,266.2,24.6442,83.9663,698.739,1.7448,0.1066,3.6515,5.3914,64.9877,3.0899816597890877,3.2910511537052867,1.3008,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E09_F06_CF,1766.0,6.3818408699269105,52.900000000000006,3.6174,279.1,17.529,86.1205,737.098,1.6829,0.1074,3.9293,4.6249,53.4333,2.7481727969576326,2.9355125357029515,1.4201,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E09_F07_CF,1767.0,4.979175731957482,45.5,3.5865,294.20000000000005,12.4325,75.4886,678.449,1.6087,0.0801,3.7618,4.0239,65.8175,2.501336482874371,2.632408740023551,1.2306,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E09_F08_CF,1768.0,6.420866388904743,50.4,3.4985,282.5,24.2563,81.1172,674.557,1.7521,0.1125,3.5273,5.129,55.278,2.927344329661549,3.128202000487924,1.4267,AAA_E09_CF.xlsx,AAA_E09_CF.xlsx
AAA_E11_F01_CF,2732.0,7.30505734739435,46.199999999999996,4.015,249.1,26.171,105.1772,790.161,1.2991,0.0949,3.6167,4.6672,62.5329,3.5926410591948277,3.8757681448264414,1.3056,AAA_E11_CF.xlsx,AAA_E11_CF.xlsx
AAA_E11_F02_CF,2733.0,8.181687920905574,48.9,3.8709,258,40.1212,106.035,783.727,1.3958,0.1142,3.4444,5.0982,54.382,3.652529015618284,3.9779962546816487,1.2943,AAA_E11_CF.xlsx,AAA_E11_CF.xlsx
AAA_E11_F03_CF,2734.0,7.524796778283243,46.699999999999996,3.862,256.6,47.7292,103.1755,796.237,1.3409,0.1009,3.3512,4.9853,60.7573,3.717876053396972,4.020403225806452,1.2852,AAA_E11_CF.xlsx,AAA_E11_CF.xlsx
AAA_E11_F04_CF,2735.0,5.663607724969182,46.6,3.6918,271.8,19.5172,91.3802,789.589,1.4602,0.0827,3.9466,3.9217,60.7568,2.6857279824681553,2.846969147005445,1.3376,AAA_E11_CF.xlsx,AAA_E11_CF.xlsx
AAA_E11_F05_CF,2417.0,3.6541533546325873,45,3.3658,295.8,4.9919,67.3583,655.517,1.5024,0.0549,4.3303,2.5413,61.8201,1.6914936102236422,1.7556476683937825,1.465,AAA_E11_CF.xlsx,AAA_E11_CF.xlsx
AAA_E11_F06_CF,2418.0,4.8057848595379795,45.6,3.6569,271.1,5.4393,74.2377,629.736,1.5627,0.0751,4.013,3.5881,63.7493,2.2960901004671403,2.412005915568701,1.2285,AAA_E11_CF.xlsx,AAA_E11_CF.xlsx
AAA_E11_F07_CF,2419.0,4.583001896836566,52.3,3.0711,330.29999999999995,12.5436,70.6243,640.716,1.6343,0.0749,4.0218,3.097,52.3462,1.8950009178241447,1.9860202642041809,1.4096,AAA_E11_CF.xlsx,AAA_E11_CF.xlsx
AAA_E11_F08_CF,2420.0,6.559979678668953,51.6,3.7423,268.5,16.5107,89.8729,633.002,1.5747,0.1033,3.988,4.4733,53.9402,2.8407315679176985,3.0401658284626887,1.3942,AAA_E11_CF.xlsx,AAA_E11_CF.xlsx
AAA_E12_F01_CF,3159.0,6.177695511337344,45.6,3.9665,251.3,17.0635,83.0163,714.385,1.7288,0.1068,3.5802,5.2812,62.3914,3.0548357242017588,3.255980271270037,1.417,AAA_E12_CF.xlsx,AAA_E12_CF.xlsx
AAA_E12_F02_CF,3160.0,6.728018903121502,45.199999999999996,3.7158,268.40000000000003,39.4862,87.0196,761.066,1.6082,0.1082,3.4112,5.4976,63.5556,3.4184802885213283,3.6650666666666667,1.3771,AAA_E12_CF.xlsx,AAA_E12_CF.xlsx
AAA_E12_F03_CF,3161.0,6.501778950992769,52.5,3.7833,265.1,18.9372,87.7344,780.796,1.7426,0.1133,3.8746,4.9406,53.6324,2.835188798347297,3.032345178911189,1.4189,AAA_E12_CF.xlsx,AAA_E12_CF.xlsx
AAA_E12_F04_CF,3162.0,6.389387336580364,44.900000000000006,3.8682,255.7,29.7995,86.2332,757.706,1.5604,0.0997,3.4029,5.2307,66.3347,3.3521532940271723,3.5809543369617303,1.2563,AAA_E12_CF.xlsx,AAA_E12_CF.xlsx
AAA_E12_F05_CF,3164.0,7.739431066901194,43.5,4.0675,245,51.2521,100.459,746.626,1.6487,0.1276,3.2799,6.6249,64.4443,4.018256808394493,4.3553349549668,1.2561,AAA_E12_CF.xlsx,AAA_E12_CF.xlsx
AAA_E12_F06_CF,3165.0,7.3805241521068865,46.9,4.135,243.5,28.2639,96.0269,736.403,1.5568,0.1149,3.3758,5.6341,60.1763,3.6190262076053443,3.9074138289756575,1.4225,AAA_E12_CF.xlsx,AAA_E12_CF.xlsx
AAA_E12_F07_CF,3166.0,6.958250497017893,47.4,3.7042,266.6,44.4214,90.9514,754.561,1.6096,0.112,3.4529,5.5543,61.2933,3.45073310139165,3.708800747863248,1.2526,AAA_E12_CF.xlsx,AAA_E12_CF.xlsx
AAA_E12_F08_CF,3167.0,7.165259348612787,45.699999999999996,4.1628,242.29999999999998,36.4899,97.3851,762.639,1.658,0.1188,3.5245,5.9444,62.1362,3.5852834740651387,3.8620062370062374,1.3105,AAA_E12_CF.xlsx,AAA_E12_CF.xlsx
AAA_E13_F01_CF,3727.0,7.14972747675537,46.1,3.8724,257.2,38.7948,97.1259,760.384,1.5595,0.1115,3.4775,5.4955,61.9856,3.523885860852837,3.795234806629834,1.2622,AAA_E13_CF.xlsx,AAA_E13_CF.xlsx
